transport_sortie,phase,start_s,end_s,mode,relay_sortie
T009,climb,2498.753,2516.625,direct,
T009,cruise,2516.625,2728.694,direct,
T009,descent,2728.694,2824.98,direct,
T010,climb,2079.0,2175.286,direct,
T010,cruise,2175.286,2387.355,direct,
T010,descent,2387.355,2414.163,direct,
T010,handoff,2414.163,2702.163,direct,
T010,climb,2702.163,2811.437,direct,
T010,cruise,2811.437,2853.218,direct,
T010,cruise,2853.218,2863.664,direct,
T010,cruise,2863.664,2874.109,direct,
T010,cruise,2874.109,2895.0,direct,
T010,cruise,2895.0,2979.203,relay,R001
T010,descent,2979.203,3098.946,relay,R001
T010,handoff,3098.946,3422.946,relay,R001
T010,climb,3422.946,3484.278,relay,R001
T010,cruise,3484.278,3786.533,relay,R001
T010,descent,3786.533,3973.598,direct,
T011,climb,360.0,459.797,direct,
T011,cruise,459.797,726.0,direct,
T011,cruise,726.0,903.0,relay,R003
T011,cruise,903.0,1076.333,relay,R002
T011,descent,1076.333,1135.25,relay,R003
T011,handoff,1135.25,1345.25,relay,R003
T011,climb,1345.25,1394.346,relay,R003
T011,cruise,1394.346,1568.0,relay,R002
T011,cruise,1568.0,1789.441,relay,R002
T011,cruise,1789.441,2010.883,direct,
T011,descent,2010.883,2130.639,direct,
T012,climb,1910.0,1983.407,direct,
T012,cruise,1983.407,2107.328,direct,
T012,cruise,2107.328,2231.25,relay,R002
T012,cruise,2231.25,2479.092,relay,R002
T012,descent,2479.092,2524.951,relay,R002
T012,handoff,2524.951,2895.0,relay,R002
T012,handoff,2895.0,2920.951,relay,R002
T012,climb,2920.951,2957.638,relay,R002
T012,cruise,2957.638,3205.48,relay,R002
T012,cruise,3205.48,3453.323,relay,R001
T012,descent,3453.323,3545.082,direct,
T013,climb,2235.0,2314.953,direct,
T013,cruise,2314.953,2450.111,direct,
T013,cruise,2450.111,2585.268,direct,
T013,cruise,2585.268,2855.584,relay,R002
T013,descent,2855.584,2894.247,relay,R002
T013,handoff,2894.247,2895.0,relay,R002
T013,handoff,2895.0,3134.247,relay,R002
T013,climb,3134.247,3166.467,relay,R002
T013,cruise,3166.467,3436.782,relay,R002
T013,cruise,3436.782,3707.098,relay,R001
T013,descent,3707.098,3803.041,direct,
T014,climb,2521.0,2587.237,direct,
T014,cruise,2587.237,2741.118,direct,
T014,cruise,2741.118,2895.0,direct,
T014,cruise,2895.0,3029.071,relay,R002
T014,descent,3029.071,3081.636,relay,R001
T014,handoff,3081.636,3291.636,relay,R001
T014,climb,3291.636,3348.571,relay,R001
T014,cruise,3348.571,3566.614,relay,R002
T014,descent,3566.614,3621.616,relay,R002
T014,handoff,3621.616,3801.616,relay,R002
T014,climb,3801.616,3858.263,relay,R002
T014,cruise,3858.263,4180.998,relay,R002
T014,cruise,4180.998,4503.734,relay,R001
T014,descent,4503.734,4611.949,direct,
T015,climb,390.0,492.646,direct,
T015,cruise,492.646,726.0,direct,
T015,cruise,726.0,811.208,relay,R003
T015,descent,811.208,844.822,relay,R003
T015,handoff,844.822,903.0,relay,R003
T015,handoff,903.0,1084.822,relay,R003
T015,climb,1084.822,1112.835,relay,R003
T015,cruise,1112.835,1431.397,relay,R003
T015,descent,1431.397,1554.571,direct,
T016,climb,4972.0,5038.237,direct,
T016,cruise,5038.237,5480.071,relay,R001
T016,descent,5480.071,5532.636,relay,R001
T016,handoff,5532.636,5691.0,relay,R001
T016,handoff,5691.0,5742.636,relay,R001
T016,climb,5742.636,5786.439,relay,R001
T016,cruise,5786.439,5842.0,relay,R001
T016,cruise,5842.0,5938.568,direct,
T016,cruise,5938.568,6035.137,direct,
T016,cruise,6035.137,6228.274,direct,
T016,descent,6228.274,6307.758,direct,
T017,climb,360.0,448.351,direct,
T017,cruise,448.351,726.0,direct,
T017,cruise,726.0,852.409,relay,R003
T017,descent,852.409,868.83,relay,R003
T017,handoff,868.83,903.0,relay,R003
T017,handoff,903.0,1048.83,relay,R003
T017,climb,1048.83,1077.105,relay,R003
T017,cruise,1077.105,1315.767,relay,R002
T017,descent,1315.767,1378.458,relay,R003
T017,handoff,1378.458,1558.458,relay,R003
T017,climb,1558.458,1568.0,relay,R003
T017,climb,1568.0,1607.554,relay,R002
T017,cruise,1607.554,1915.823,relay,R002
T017,cruise,1915.823,2069.957,relay,R002
T017,cruise,2069.957,2224.091,direct,
T017,descent,2224.091,2343.847,direct,
T018,climb,4026.0,4199.642,direct,
T018,cruise,4199.642,4683.713,relay,R001
T018,descent,4683.713,4795.365,relay,R001
T018,handoff,4795.365,5191.365,relay,R001
T018,climb,5191.365,5280.686,relay,R001
T018,cruise,5280.686,5691.0,relay,R001
T018,cruise,5691.0,5764.757,direct,
T018,descent,5764.757,5842.0,direct,
T018,descent,5842.0,5981.81,direct,
T019,climb,4424.0,4532.216,direct,
T019,cruise,4532.216,4790.404,relay,R001
T019,cruise,4790.404,5048.592,relay,R002
T019,descent,5048.592,5133.562,relay,R002
T019,handoff,5133.562,5493.562,relay,R002
T019,climb,5493.562,5561.538,relay,R002
T019,cruise,5561.538,5691.0,relay,R002
T019,cruise,5691.0,5842.0,relay,R001
T019,cruise,5842.0,5959.957,direct,
T019,cruise,5959.957,6077.914,direct,
T019,descent,6077.914,6213.184,direct,
T020,climb,4272.0,4420.033,direct,
T020,cruise,4420.033,4921.625,relay,R001
T020,descent,4921.625,4960.545,relay,R001
T020,handoff,4960.545,5170.545,relay,R001
T020,climb,5170.545,5202.978,relay,R001
T020,cruise,5202.978,5691.0,relay,R001
T020,cruise,5691.0,5704.57,direct,
T020,descent,5704.57,5842.0,direct,
T020,descent,5842.0,5882.21,direct,
T021,climb,4164.0,4243.953,direct,
T021,cruise,4243.953,4514.268,relay,R001
T021,cruise,4514.268,4784.584,relay,R002
T021,descent,4784.584,4823.247,relay,R002
T021,handoff,4823.247,5033.247,relay,R002
T021,climb,5033.247,5065.467,relay,R002
T021,cruise,5065.467,5335.782,relay,R002
T021,cruise,5335.782,5606.098,relay,R001
T021,descent,5606.098,5691.0,direct,
T021,descent,5691.0,5702.041,direct,
T022,climb,3849.0,3904.176,direct,
T022,cruise,3904.176,4142.621,direct,
T022,cruise,4142.621,4381.066,relay,R002
T022,descent,4381.066,4406.357,relay,R002
T022,handoff,4406.357,4616.357,relay,R002
T022,climb,4616.357,4637.434,relay,R002
T022,cruise,4637.434,4875.878,relay,R002
T022,cruise,4875.878,5114.323,direct,
T022,descent,5114.323,5180.534,direct,
T023,climb,4561.0,4627.237,direct,
T023,cruise,4627.237,4980.704,relay,R001
T023,descent,4980.704,5033.269,relay,R001
T023,handoff,5033.269,5243.269,relay,R001
T023,climb,5243.269,5287.072,relay,R001
T023,cruise,5287.072,5640.54,relay,R001
T023,descent,5640.54,5691.0,direct,
T023,descent,5691.0,5720.024,direct,
