box,zone,kind,desired_s,hard_deadline_s,delivered_s,hard_slack_s,soft_lateness_s
S009-FOD-01,S009,应急食品,14400,,5047.869017541081,,0
S009-MED-01,S009,医疗物资,10800,10800,1127.3572431194746,9672.642756880525,
S009-WAT-01,S009,饮用水,10800,10800,5047.869017541081,5752.130982458919,
S010-FOD-01,S010,应急食品,7200,,1084.8223462305075,,0
S010-MED-01,S010,医疗物资,3600,3600,1084.8223462305075,2515.1776537694923,
S010-WAT-01,S010,饮用水,3600,3600,1084.8223462305075,2515.1776537694923,
S011-FOD-01,S011,应急食品,14400,,2176.9817268041543,,0
S011-MED-01,S011,医疗物资,10800,10800,2176.9817268041543,8623.018273195845,
S011-WAT-01,S011,饮用水,10800,10800,2176.9817268041543,8623.018273195845,
S012-FOD-01,S012,应急食品,7200,,5046.881614060195,,0
S012-MED-01,S012,医疗物资,7200,3600,1345.2495443797914,2254.7504556202084,
S012-WAT-01,S012,饮用水,3600,3600,1345.2495443797914,2254.7504556202084,
S013-FOD-01,S013,应急食品,7200,,4537.2537850514345,,0
S013-MED-01,S013,医疗物资,3600,3600,1108.8297013234196,2491.1702986765804,
S013-WAT-01,S013,饮用水,3600,3600,1108.8297013234196,2491.1702986765804,
S014-FOD-01,S014,应急食品,7200,,2784.397470872132,,0
S014-MED-01,S014,医疗物资,7200,3600,2784.397470872132,815.6025291278679,
S014-WAT-01,S014,饮用水,3600,3600,2784.397470872132,815.6025291278679,
S015-FOD-01,S015,应急食品,14400,,5352.625155589938,,0
S015-MED-01,S015,医疗物资,7200,7200,3208.846850933197,3991.153149066803,
S015-WAT-01,S015,饮用水,10800,10800,5352.625155589938,5447.374844410062,
