id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P13_246_5,3,39,12,0.3140254269946852,False,True,5,1,5,3,4,2,6,0,8,4,5,1,3,1,3,0
P13_24_56,3,37,10,0.27780827026779586,False,True,5,1,4,2,4,2,6,0,7,3,5,1,3,1,3,0
P13_256_4,3,37,10,0.6120899943484948,False,True,6,2,3,1,5,3,6,0,5,1,6,2,3,1,3,0
P13_25_46,3,39,12,0.563623628694564,False,True,6,2,4,2,5,3,6,0,6,2,6,2,3,1,3,0
P13_26_45,3,42,15,0.23927762538102143,False,True,6,2,5,3,5,3,6,0,8,4,6,2,3,1,3,0
P13_2_456,3,40,13,0.21975007588194462,False,True,6,2,4,2,5,3,6,0,7,3,6,2,3,1,3,0
P1456_23,2,41,14,0.32876341755896143,False,True,6,2,4,2,4,2,7,1,7,3,7,3,3,1,3,0
P1456_2_3,3,43,16,0.05909519551362356,False,True,7,3,4,2,5,3,7,1,7,3,7,3,3,1,3,0
P145_236,2,42,15,0.37117672112109074,False,True,6,2,4,2,4,2,7,1,8,4,7,3,3,1,3,0
P145_23_6,3,43,16,0.7887473411470464,False,True,6,2,5,3,4,2,7,1,8,4,7,3,3,1,3,0
P145_26_3,3,45,18,0.051914191471287965,False,True,7,3,5,3,5,3,7,1,8,4,7,3,3,1,3,0
P145_2_36,3,44,17,0.09388211988534412,False,True,7,3,4,2,5,3,7,1,8,4,7,3,3,1,3,0
P146_235,2,37,10,0.7061519267289046,False,True,6,2,3,1,4,2,7,1,5,1,7,3,2,0,3,0
P146_23_5,3,43,16,0.7041205490867412,False,True,6,2,5,3,4,2,7,1,8,4,7,3,3,1,3,0
P146_25_3,3,42,15,0.4313037305891386,False,True,7,3,4,2,5,3,7,1,6,2,7,3,3,1,3,0
P146_2_35,3,43,16,0.4903743316599721,False,True,7,3,4,2,5,3,7,1,7,3,7,3,3,1,3,0
P14_2356,2,35,8,0.748565230291034,False,True,6,2,2,0,4,2,7,1,4,0,7,3,2,0,3,0
P14_235_6,3,37,10,1.1099457403917572,False,True,6,2,3,1,4,2,7,1,5,1,7,3,2,0,3,0
P14_236_5,3,42,15,0.7512159131117857,False,True,6,2,4,2,4,2,7,1,8,4,7,3,3,1,3,0
P14_23_56,3,41,14,0.7097879394058688,False,True,6,2,4,2,4,2,7,1,7,3,7,3,3,1,3,0
P14_256_3,3,40,13,0.48295406548064707,False,True,7,3,3,1,5,3,7,1,5,1,7,3,3,1,3,0
P14_25_36,3,41,14,0.4640624509932983,False,True,7,3,3,1,5,3,7,1,6,2,7,3,3,1,3,0
P14_26_35,3,43,16,0.5134970948259735,False,True,7,3,4,2,5,3,7,1,7,3,7,3,3,1,3,0
P14_2_356,3,41,14,0.542040105207345,False,True,7,3,3,1,5,3,7,1,6,2,7,3,3,1,3,0
P156_234,2,38,11,0.4267739202768303,False,True,5,1,4,2,4,2,6,0,7,3,6,2,3,1,3,0
P156_23_4,3,42,15,0.7601676214629117,False,True,6,2,4,2,5,3,7,1,7,3,7,3,3,1,3,0
P156_24_3,3,41,14,0.09911506952265492,False,True,6,2,4,2,5,3,7,1,7,3,6,2,3,1,3,0
P156_2_34,3,40,13,0.15480088613190787,False,True,6,2,4,2,5,3,6,0,7,3,6,2,3,1,3,0
P15_2346,2,39,12,0.46918722383895944,False,True,5,1,4,2,4,2,6,0,8,4,6,2,3,1,3,0
P15_234_6,3,40,13,0.8599032988817517,False,True,5,1,5,3,4,2,6,0,8,4,6,2,3,1,3,0
P15_236_4,3,43,16,0.7928558487470401,False,True,6,2,4,2,5,3,7,1,8,4,7,3,3,1,3,0
P15_23_46,3,44,17,0.7418355285450361,False,True,6,2,5,3,5,3,7,1,8,4,7,3,3,1,3,0
P15_246_3,3,43,16,0.14662020925491295,False,True,6,2,5,3,5,3,7,1,8,4,6,2,3,1,3,0
P15_24_36,3,42,15,0.14622185580113606,False,True,6,2,4,2,5,3,7,1,8,4,6,2,3,1,3,0
P15_26_34,3,42,15,0.17146888725545173,False,True,6,2,5,3,5,3,6,0,8,4,6,2,3,1,3,0
P15_2_346,3,41,14,0.20434229190440778,False,True,6,2,4,2,5,3,6,0,8,4,6,2,3,1,3,0
P16_2345,2,34,7,0.8041624294467733,False,True,5,1,3,1,4,2,6,0,5,1,6,2,2,0,3,0
P16_234_5,3,40,13,0.8138450069619293,False,True,5,1,5,3,4,2,6,0,8,4,6,2,3,1,3,0
P16_235_4,3,38,11,1.1041669291021918,False,True,6,2,3,1,5,3,7,1,5,1,7,3,2,0,3,0
P16_23_45,3,44,17,0.7228254255283925,False,True,6,2,5,3,5,3,7,1,8,4,7,3,3,1,3,0
P16_245_3,3,40,13,0.5507436567087043,False,True,6,2,4,2,5,3,7,1,6,2,6,2,3,1,3,0
P16_24_35,3,41,14,0.5498005058929933,False,True,6,2,4,2,5,3,7,1,7,3,6,2,3,1,3,0
P16_25_34,3,39,12,0.5118359468521906,False,True,6,2,4,2,5,3,6,0,6,2,6,2,3,1,3,0
P16_2_345,3,40,13,0.6098378226024311,False,True,6,2,4,2,5,3,6,0,7,3,6,2,3,1,3,0
P1_23456,2,32,5,0.8465757330089025,False,True,5,1,2,0,4,2,6,0,4,0,6,2,2,0,3,0
P1_2345_6,3,34,7,1.2084101019050069,False,True,5,1,3,1,4,2,6,0,5,1,6,2,2,0,3,0
P1_2346_5,3,39,12,0.862179878816,False,True,5,1,4,2,4,2,6,0,8,4,6,2,3,1,3,0
P1_234_56,3,38,11,0.8225523025575657,False,True,5,1,4,2,4,2,6,0,7,3,6,2,3,1,3,0
P1_2356_4,3,36,9,1.1480283409810168,False,True,6,2,2,0,5,3,7,1,4,0,7,3,2,0,3,0
P1_235_46,3,38,11,1.1025693566005286,False,True,6,2,3,1,5,3,7,1,5,1,7,3,2,0,3,0
P1_236_45,3,43,16,0.772820561361133,False,True,6,2,4,2,5,3,7,1,8,4,7,3,3,1,3,0
P1_23_456,3,42,15,0.7368586124096446,False,True,6,2,4,2,5,3,7,1,7,3,7,3,3,1,3,0
P1_2456_3,3,38,11,0.6025040616968499,False,True,6,2,3,1,5,3,7,1,5,1,6,2,3,1,3,0
P1_245_36,3,39,12,0.5821383423317424,False,True,6,2,3,1,5,3,7,1,6,2,6,2,3,1,3,0
P1_246_35,3,41,14,0.5813464759814851,False,True,6,2,4,2,5,3,7,1,7,3,6,2,3,1,3,0
P1_24_356,3,39,12,0.6015451027051019,False,True,6,2,3,1,5,3,7,1,6,2,6,2,3,1,3,0
P1_256_34,3,37,10,0.5616343843109414,False,True,6,2,3,1,5,3,6,0,5,1,6,2,3,1,3,0
P1_25_346,3,38,11,0.5511605342402767,False,True,6,2,3,1,5,3,6,0,6,2,6,2,3,1,3,0
P1_26_345,3,40,13,0.6335218030394056,False,True,6,2,4,2,5,3,6,0,7,3,6,2,3,1,3,0
P1_2_3456,3,38,11,0.661599204950285,False,True,6,2,3,1,5,3,6,0,6,2,6,2,3,1,3,0
